100, 141, 99, 148, 127, 159, 128, 165
99, 149, 66, 153, 127, 166, 94, 180
100, 149, 132, 162, 132, 165, 160, 175
68, 153, 86, 166, 99, 184, 115, 187
85, 166, 115, 171, 116, 188, 148, 182
119, 171, 132, 163, 149, 183, 161, 175
134, 162, 189, 100, 161, 175, 202, 104
190, 97, 180, 33, 199, 96, 154, 11
180, 32, 99, 14, 154, 12, 91, 10
101, 13, 40, 60, 88, 13, 46, 55
40, 63, 38, 117, 46, 55, 55, 136
40, 105, 67, 154, 55, 132, 94, 180
99, 140, 88, 127, 128, 156, 109, 141
90, 123, 116, 127, 109, 139, 140, 137
117, 128, 100, 140, 140, 137, 130, 155
80, 82, 71, 97, 95, 92, 87, 103
71, 99, 60, 85, 87, 102, 77, 95
60, 86, 78 , 80,  77, 95, 95, 92
140, 87, 161, 95, 151 ,83, 171, 87
161,95, 142, 102, 171, 86, 151, 97
142, 102, 140, 87, 151, 97, 152, 81
