84, 212, 42, 169, 116, 250, 95, 238
41, 163, 39, 122, 91, 231, 88, 154
41, 120, 74, 74, 90, 153, 99, 140
78, 72, 110, 57, 101, 138, 118, 133
117, 55, 182, 66, 127, 131, 161, 145
192, 73, 216, 97, 162, 148, 169, 161
220, 108, 216, 173, 170, 165, 173, 226
201, 189, 161, 217, 173, 230, 153, 248
151, 219, 94, 217, 149, 248, 119, 249
130, 78, 121, 82, 115, 125, 87, 130
119, 83, 120, 76, 82, 127, 101, 115
117, 75, 109, 70, 97, 114, 71, 21
108, 68, 122, 69, 69, 18, 107, 32
124, 68, 128, 63, 107, 38, 114, 9
127, 63, 132, 68, 116, 9, 128, 48
133, 68, 145, 68, 127, 48, 166, 15
145, 67, 138, 72, 166, 13, 141, 100
138, 72, 143, 80, 140, 100, 156, 136
141, 80, 131, 78, 153, 137, 118, 124
